date,open,high,low,close,volume,average,barCount
2020-06-24 11:48:00,24744.0,24744.0,24733.0,24734.0,64,24735.8,23
2020-06-24 11:49:00,24732.0,24737.0,24731.0,24737.0,262,24733.1,25
2020-06-24 11:50:00,24736.0,24737.0,24733.0,24733.0,45,24735.0,15
2020-06-24 11:51:00,24733.0,24733.0,24726.0,24726.0,25,24729.2,16
2020-06-24 11:52:00,24730.0,24733.0,24724.0,24730.0,120,24731.1,15
2020-06-24 11:53:00,24724.0,24725.0,24719.0,24719.0,77,24722.2,19
2020-06-24 11:54:00,24720.0,24729.0,24719.0,24729.0,159,24721.3,27
2020-06-24 11:55:00,24728.0,24731.0,24722.0,24725.0,24,24725.9,14
2020-06-24 11:56:00,24725.0,24729.0,24725.0,24726.0,27,24726.6,16
2020-06-24 11:57:00,24727.0,24737.0,24727.0,24736.0,31,24734.3,16
2020-06-24 11:58:00,24738.0,24743.0,24735.0,24737.0,53,24737.3,17
2020-06-24 11:59:00,24744.0,24761.0,24738.0,24761.0,60,24750.2,27
